label,isrc,added_at,removed_at,days_on_playlist,title,artist,spotify_pop,cm_track_id,cm_artist_id,track_genre,release_date
86,QZK6G2007479,2020-11-10T00:00:00.000Z,2020-12-13T00:00:00.000Z,33,Do It Again,['Supreme Unbeing'],,31640998,[3729466],,['2020-10-10T00:00:00.000Z']
87,USWB12001137,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,NIGHTMARES,['brother sundance'],44.0,29431378,[656233],,['2020-05-15T00:00:00.000Z']
88,UST8K1869901,2020-11-05T00:00:00.000Z,2020-12-13T00:00:00.000Z,38,The Perks of Fragility,['Julian Kerins'],,29084684,[855397],,['2017-11-13T00:00:00.000Z']
89,GBAHT2000145,2020-08-31T00:00:00.000Z,2020-11-08T00:00:00.000Z,69,Be My End,['Creeper'],,29767778,[56144],"british alternative rock,southampton indie",['2020-06-18T00:00:00.000Z']
90,USHR22010904,2020-08-31T00:00:00.000Z,2020-10-21T00:00:00.000Z,51,Carhartts & Converse (feat. Mark Hoppus),"['Super Whatevr', 'Mark Hoppus']",41.0,30064321,"[178152, 21540]","alternative emo,anthem emo,modern alternative rock",['2020-07-10T00:00:00.000Z']
91,QZK6G2007483,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,The Liar,['Supreme Unbeing'],,31648485,[3729466],,['2020-10-10T00:00:00.000Z']
92,BEAC52001005,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Neon Fever Dream,['Compact Disk Dummies'],,29433616,[476684],"belgian pop,belgian rock",['2020-05-14T00:00:00.000Z']
93,QZK6M2064348,2020-11-10T00:00:00.000Z,2020-12-23T00:00:00.000Z,43,Not The End,['Monoply'],,31471655,[3414357],,['2020-09-25T00:00:00.000Z']
94,USAT21812258,2020-07-20T00:00:00.000Z,2020-09-24T00:00:00.000Z,66,Are You Bored Yet? (feat. Clairo),"['Wallows', 'Clairo']",83.0,22358948,"[568354, 601559]","indie pop,modern rock,pop,bedroom pop,boston indie,pop",['2019-03-22T00:00:00.000Z']
95,QM6MZ2094860,2020-08-31T00:00:00.000Z,2020-10-21T00:00:00.000Z,51,Hold Me Down,['The Happy Fits'],,31079865,[211191],"indie rockism,modern rock,new jersey indie",['2020-08-28T00:00:00.000Z']
96,CAGOO2019865,2020-09-25T00:00:00.000Z,2021-02-02T00:00:00.000Z,130,Miami Heat,['DJ Electronica'],,31469126,[3771350],,['2020-07-05T00:00:00.000Z']
97,QZK6G2007480,2020-10-20T00:00:00.000Z,2020-11-26T00:00:00.000Z,37,The Sinner,['Supreme Unbeing'],,31648541,[3729466],,['2020-10-10T00:00:00.000Z']
98,USUM72011694,2020-07-21T00:00:00.000Z,2020-10-21T00:00:00.000Z,92,The Machine,['Oliver Malcolm'],,30202851,[3566277],,['2020-07-15T00:00:00.000Z']
99,CAGOO2021535,2020-10-28T00:00:00.000Z,2021-01-23T00:00:00.000Z,87,Funky,['DJ Zoom'],,31593395,[3979233],,['2020-07-19T00:00:00.000Z']
