index,rank,added_at,title,artist,isrc,velocity,cm_id,time_on_chart,release_dates,cm_artist_id,Before_Tiktok_Date,total_spotify_followers,track_age
48,49,2021-03-09,Pull Me Closer,Dimitri Vegas,BEG852100008,,33198004.0,6,['2021-03-05T00:00:00.000Z'],1595488,2021-02-24,145997.0,a month
50,51,2021-03-09,What If (I Told You I Like You),Johnny Orlando,CAGFE1800001,,19251938.0,194,"['2018-06-15T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-05-29T00:00:00.000Z', '2018-05-18T00:00:00.000Z', '2020-07-01T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-24T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-08-17T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-08-26T00:00:00.000Z', '2020-09-08T00:00:00.000Z', '2020-09-23T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-02T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-14T00:00:00.000Z', '2020-10-28T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-09T00:00:00.000Z', '2020-11-16T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-23T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-04T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2021-01-15T00:00:00.000Z', '2021-01-20T00:00:00.000Z', '2021-01-22T00:00:00.000Z', '2021-01-24T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-11T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-19T00:00:00.000Z']",214276,2020-08-20,481970.0,over 2 months
51,52,2021-03-09,Buss It,Erica Banks,USUYG1312999,,29555553.0,69,"['2020-05-15T00:00:00.000Z', '2020-05-15T00:00:00.000Z', '2020-06-19T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z']",1443482,2020-12-23,6535.0,over 2 months
52,53,2021-03-09,F Boy,Ander Huang,QZHNC2078374,0.0,31595311.0,127,"['2020-08-22T00:00:00.000Z', '2020-12-02T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z', '2021-02-10T00:00:00.000Z']",3581033,2020-10-26,,over 2 months
53,54,2021-03-09,Heartbreak Anniversary,Giveon,USSM12000998,-4.85714285714286,28541554.0,21,"['2020-02-21T00:00:00.000Z', '2020-03-27T00:00:00.000Z', '2020-03-27T00:00:00.000Z']",1202489,2021-02-09,534196.0,a month
54,55,2021-03-09,Blinding Lights,The Weeknd,USUG11904206,,27552418.0,124,"['2019-11-29T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-20T00:00:00.000Z', '2020-03-23T00:00:00.000Z', '2020-03-23T00:00:00.000Z', '2020-03-30T00:00:00.000Z', '2020-03-30T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-04-03T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-06-26T00:00:00.000Z', '2020-07-03T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-31T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-17T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-16T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-05T00:00:00.000Z']",3852,2020-10-29,25192085.0,over 2 months
55,56,2021-03-09,Monkeys Spinning Monkeys,Kevin MacLeod,USUAN1400011,-0.28571428571428603,17158836.0,266,"['2014-12-30T00:00:00.000Z', '2019-10-10T00:00:00.000Z']",333690,2020-06-09,67497.0,over 2 months
57,58,2021-03-09,"1,2,3,4 (One, Two, Three, Four) - Fun Elektro Mix",Funbeat,ITJ871201055,,21819135.0,24,['2012-01-01T00:00:00.000Z'],502499,2021-02-06,72.0,a month
58,59,2021-03-09,Falling,Trevor Daniel,USUYG1221109,2.28571428571429,20659476.0,117,"['2018-10-05T00:00:00.000Z', '2018-10-11T00:00:00.000Z', '2020-02-14T00:00:00.000Z', '2020-02-28T00:00:00.000Z', '2020-03-06T00:00:00.000Z', '2020-03-13T00:00:00.000Z', '2018-10-05T00:00:00.000Z', '2020-03-26T00:00:00.000Z', '2020-03-26T00:00:00.000Z', '2020-05-01T00:00:00.000Z', '2020-05-08T00:00:00.000Z', '2020-05-22T00:00:00.000Z', '2020-07-15T00:00:00.000Z', '2020-07-17T00:00:00.000Z', '2020-07-22T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-08-21T00:00:00.000Z', '2020-09-11T00:00:00.000Z', '2020-09-18T00:00:00.000Z', '2020-09-25T00:00:00.000Z', '2020-10-09T00:00:00.000Z', '2020-10-16T00:00:00.000Z', '2020-10-23T00:00:00.000Z', '2020-10-30T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-11-06T00:00:00.000Z', '2020-10-27T00:00:00.000Z', '2020-11-18T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-20T00:00:00.000Z', '2020-11-27T00:00:00.000Z', '2020-12-03T00:00:00.000Z', '2020-12-11T00:00:00.000Z', '2020-12-18T00:00:00.000Z', '2020-12-21T00:00:00.000Z', '2021-01-06T00:00:00.000Z', '2021-01-15T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-01-29T00:00:00.000Z', '2021-02-05T00:00:00.000Z', '2021-02-09T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z', '2021-02-12T00:00:00.000Z']",720461,2020-11-05,496171.0,over 2 months
59,60,2021-03-09,Best Ever,Polo Frost,QM33K1600047,-4.28571428571429,13770151.0,55,['2016-11-18T00:00:00.000Z'],215565,2021-01-06,4183.0,2 months
